,sale_price,address,lat,lon,date_time,year,rel_to_mean_price,rel_to_median_price,tmstmp,date,log_price
32,96500,"150 WESLEY, Buffalo",42.9471693,-78.8373574,1990/02/01 00:00,1990,1.3650913091620376,1.7545454545454546,633848400.0,02/01/90,11.477298287327077
33,75000,"359 DOAT, Buffalo",42.909581,-78.8075908,1990/02/01 00:00,1990,1.0609517946855214,1.3636363636363635,633848400.0,02/01/90,11.225243392518447
34,22000,"158 WALDEN, Buffalo",42.903816,-78.83028,1990/02/01 00:00,1990,0.3112125264410863,0.4,633848400.0,02/01/90,9.998797732340453
35,22000,"358 GOODYEAR, Buffalo",42.905901,-78.82248799999998,1990/02/01 00:00,1990,0.3112125264410863,0.4,633848400.0,02/01/90,9.998797732340453
36,22900,"275 LOEPERE, Buffalo",42.90166929999999,-78.83427499999998,1990/02/01 00:00,1990,0.3239439479773126,0.4163636363636364,633848400.0,02/01/90,10.03889218954233
37,19500,"1269 SYCAMORE, Buffalo",42.90175199999999,-78.82546099999998,1990/02/01 00:00,1990,0.2758474666182356,0.3545454545454545,633848400.0,02/01/90,9.878169744551839
38,72500,"460 MICHIGAN, Buffalo",42.885025,-78.868332,1990/02/01 00:00,1990,1.0255867348626708,1.318181818181818,633848400.0,02/01/90,11.191341840842766
39,13000,"917 GENESEE, Buffalo",42.9001685,-78.84386040000003,1990/02/01 00:00,1990,0.1838983110788237,0.2363636363636364,633848400.0,02/01/90,9.472704636443673
40,58000,"58 FISHER, Buffalo",42.9193519,-78.8014173,1990/02/01 00:00,1990,0.8204693878901366,1.0545454545454545,633848400.0,02/01/90,10.968198289528557
41,30000,"124 DURHAM, Buffalo",42.92571359999999,-78.8282304,1990/02/01 00:00,1990,0.42438071787420856,0.5454545454545454,633848400.0,02/01/90,10.308952660644293
42,178000,"37 BIDWELL, Buffalo",42.9211575,-78.87964140000003,1990/02/01 00:00,1990,2.5179922593869706,3.2363636363636363,633848400.0,02/01/90,12.089538829274222
43,70500,"38 LEONARD, Buffalo",42.9384644,-78.80390659999998,1990/02/01 00:00,1990,0.9972946870043902,1.2818181818181815,633848400.0,02/01/90,11.16336798880036
44,78000,"38 MERIDEN, Buffalo",42.8499723,-78.81262439999998,1990/02/01 00:00,1990,1.1033898664729422,1.4181818181818182,633848400.0,02/01/90,11.26446410567173
45,61900,"167 ORLEANS, Buffalo",42.9386714,-78.8063849,1990/02/01 00:00,1990,0.8756388812137837,1.1254545454545457,633848400.0,02/01/90,11.033275458672687
46,73000,"101 WHITFIELD, Buffalo",42.8434547,-78.8197928,1990/02/01 00:00,1990,1.032659746827241,1.3272727272727274,633848400.0,02/01/90,11.198214720130528
47,38500,"42 ALICE, Buffalo",42.9390531,-78.8077788,1990/02/01 00:00,1990,0.544621921271901,0.7,633848400.0,02/01/90,10.558413520275876
48,50900,"102 LADNER, Buffalo",42.8419383,-78.82846490000001,1990/02/01 00:00,1990,0.7200326179932406,0.9254545454545454,633848400.0,02/01/90,10.837618202538614
49,43405,"474 NORFOLK, Buffalo",42.9281198,-78.8197485,1990/02/01 00:00,1990,0.6140081686443342,0.7891818181818182,633848400.0,02/01/90,10.678329920825908
50,80000,"105 WINSTON, Buffalo",42.9504968,-78.83987909999998,1990/02/01 00:00,1990,1.131681914331223,1.4545454545454546,633848400.0,02/01/90,11.289781913656018
