sale_price_int,Address,lat,lng,data_time_1,year,rel_to_mean_price,rel_to_median_price
70500,"38 LEONARD, Buffalo",42.938464399999994,-78.80390659999998,1990/02/01 00:00,1990,0.9972946870043902,1.2818181818181817
78000,"38 MERIDEN, Buffalo",42.8499723,-78.81262439999998,1990/02/01 00:00,1990,1.1033898664729422,1.4181818181818182
61900,"167 ORLEANS, Buffalo",42.9386714,-78.8063849,1990/02/01 00:00,1990,0.8756388812137837,1.1254545454545455
73000,"101 WHITFIELD, Buffalo",42.8434547,-78.8197928,1990/02/01 00:00,1990,1.032659746827241,1.3272727272727274
38500,"42 ALICE, Buffalo",42.9390531,-78.8077788,1990/02/01 00:00,1990,0.544621921271901,0.7
50900,"102 LADNER, Buffalo",42.841938299999995,-78.82846490000001,1990/02/01 00:00,1990,0.7200326179932406,0.9254545454545454
43405,"474 NORFOLK, Buffalo",42.9281198,-78.8197485,1990/02/01 00:00,1990,0.6140081686443342,0.7891818181818182
80000,"105 WINSTON, Buffalo",42.950496799999996,-78.83987909999998,1990/02/01 00:00,1990,1.131681914331223,1.4545454545454546
58200,"23 JOHN PAUL COURT, Buffalo",42.8843203,-78.84173709999997,1990/02/01 00:00,1990,0.8232985926759646,1.0581818181818181
62900,"77 PAUL, Buffalo",42.858787899999996,-78.81465990000002,1990/02/01 00:00,1990,0.889784905142924,1.1436363636363636
80000,"2 STONEBORO, Buffalo",42.9380824,-78.83680439999998,1990/02/01 00:00,1990,1.131681914331223,1.4545454545454546
55000,"70 STRATHMORE, Buffalo",42.8499281,-78.81713789999998,1990/02/01 00:00,1990,0.7780313161027157,1.0
75000,"77 MILFORD, Buffalo",42.8535028,-78.81523519999998,1990/02/01 00:00,1990,1.0609517946855214,1.3636363636363635
50000,"403 CUMBERLAND, Buffalo",42.85035560000001,-78.8123146,1990/02/01 00:00,1990,0.7073011964570143,0.9090909090909091
150000,"38 CLARENDON, Buffalo",42.9270527,-78.8705978,1990/02/01 00:00,1990,2.1219035893710427,2.727272727272727
86000,"775 TIFFT, Buffalo",42.84677569999999,-78.8305886,1990/02/01 00:00,1990,1.2165580579060646,1.5636363636363637
39900,"112 FENNIMORE, Buffalo",42.9382731,-78.80691589999998,1990/02/01 00:00,1990,0.5644263547726974,0.7254545454545455
39900,"361 HUMBOLDT, Buffalo",42.9243603,-78.8460853,1990/02/01 00:00,1990,0.5644263547726974,0.7254545454545455
48000,"151 LONGNECKER, Buffalo",42.8889438,-78.8083135,1990/02/01 00:00,1990,0.6790091485987337,0.8727272727272727
98500,"75 DEPEW EAST, Buffalo",42.9416421,-78.8327122,1990/02/01 00:00,1990,1.3933833570203182,1.790909090909091
